Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0005,001,24FP0001,99680,493440,643,,690,-490,-590,1956/01/17,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0005,001,1984/01/30 00:00:00,275,
B24F0005,001,1984/02/14 00:00:00,255,
B24F0005,001,1984/02/27 00:00:00,246,
B24F0005,001,1984/03/14 00:00:00,251,
B24F0005,001,1984/03/28 00:00:00,259,
B24F0005,001,1984/04/13 00:00:00,261,
B24F0005,001,1984/04/26 00:00:00,266,
B24F0005,001,1984/05/14 00:00:00,268,
B24F0005,001,1984/05/28 00:00:00,273,
B24F0005,001,1984/06/15 00:00:00,265,
B24F0005,001,1984/06/27 00:00:00,266,
B24F0005,001,1984/07/13 00:00:00,274,
B24F0005,001,1984/07/27 00:00:00,278,
B24F0005,001,1984/08/14 00:00:00,284,
B24F0005,001,1984/08/28 00:00:00,298,
B24F0005,001,1984/09/14 00:00:00,298,
B24F0005,001,1984/10/12 00:00:00,299,
B24F0005,001,1984/10/29 00:00:00,300,
B24F0005,001,1984/11/14 00:00:00,298,
B24F0005,001,1984/11/28 00:00:00,299,
B24F0005,001,1984/12/14 00:00:00,288,
B24F0005,001,1984/12/28 00:00:00,299,
B24F0005,001,1985/01/14 00:00:00,294,
B24F0005,001,1985/01/28 00:00:00,297,
B24F0005,001,1985/02/14 00:00:00,282,
B24F0005,001,1985/02/28 00:00:00,286,
B24F0005,001,1985/03/14 00:00:00,295,
B24F0005,001,1985/03/28 00:00:00,299,
B24F0005,001,1985/04/12 00:00:00,301,
B24F0005,001,1985/04/28 00:00:00,303,
B24F0005,001,1985/05/14 00:00:00,307,
B24F0005,001,1985/05/28 00:00:00,309,
B24F0005,001,1985/06/14 00:00:00,313,
B24F0005,001,1985/06/28 00:00:00,315,
B24F0005,001,1985/07/12 00:00:00,318,
B24F0005,001,1985/07/28 00:00:00,319,
B24F0005,001,1985/08/14 00:00:00,301,
B24F0005,001,1985/08/28 00:00:00,303,
B24F0005,001,1985/09/17 00:00:00,316,
